name,cylinders,displacement,horsepower,weight,acceleration,origin,OilExpensive,Old?
chevrolet chevelle malibu,8,307,130,3504,12,1,inexpensive,old
buick skylark 320,8,350,165,3693,11,1,inexpensive,old
plymouth satellite,8,318,150,3436,11,1,inexpensive,old
amc rebel sst,8,304,150,3433,12,1,inexpensive,old
ford torino,8,302,140,3449,10,1,inexpensive,old
ford galaxie 500,8,429,198,4341,10,1,inexpensive,old
chevrolet impala,8,454,220,4354,9,1,inexpensive,old
plymouth fury iii,8,440,215,4312,8,1,inexpensive,old
pontiac catalina,8,455,225,4425,10,1,inexpensive,old
amc ambassador dpl,8,390,190,3850,8,1,inexpensive,old
dodge challenger se,8,383,170,3563,10,1,inexpensive,old
plymouth 'cuda 340,8,340,160,3609,8,1,inexpensive,old
chevrolet monte carlo,8,400,150,3761,9,1,inexpensive,old
buick estate wagon (sw),8,455,225,3086,10,1,inexpensive,old
toyota corona mark ii,4,113,95,2372,15,3,inexpensive,old
plymouth duster,6,198,95,2833,15,1,inexpensive,old
amc hornet,6,199,97,2774,15,1,inexpensive,old
ford maverick,6,200,85,2587,16,1,inexpensive,old
datsun pl510,4,97,88,2130,14,3,expensive,old
volkswagen 1131 deluxe sedan,4,97,46,1835,20,2,expensive,old
peugeot 504,4,110,87,2672,17,2,inexpensive,old
audi 100 ls,4,107,90,2430,14,2,inexpensive,old
saab 99e,4,104,95,2375,17,2,inexpensive,old
bmw 2002,4,121,113,2234,12,2,expensive,old
amc gremlin,6,199,90,2648,15,1,inexpensive,old
ford f250,8,360,215,4615,14,1,inexpensive,old
chevy c20,8,307,200,4376,15,1,inexpensive,old
dodge d200,8,318,210,4382,13,1,inexpensive,old
hi 1200d,8,304,193,4732,18,1,inexpensive,old
datsun pl510,4,97,88,2130,14,3,expensive,old
chevrolet vega 2300,4,140,90,2264,15,1,expensive,old
toyota corona,4,113,95,2228,14,3,inexpensive,old
amc gremlin,6,232,100,2634,13,1,inexpensive,old
plymouth satellite custom,6,225,105,3439,15,1,inexpensive,old
chevrolet chevelle malibu,6,250,100,3329,15,1,inexpensive,old
ford torino 500,6,250,88,3302,15,1,inexpensive,old
amc matador,6,232,100,3288,15,1,inexpensive,old
chevrolet impala,8,350,165,4209,12,1,inexpensive,old
pontiac catalina brougham,8,400,175,4464,11,1,inexpensive,old
ford galaxie 500,8,351,153,4154,13,1,inexpensive,old
plymouth fury iii,8,318,150,4096,13,1,inexpensive,old
